,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
1627,06,Steglitz-Zehlendorf,6120360,Kita der Ev. Kirchengem. Paul-Schneider,Wedellstr. 076,12249,775 39 19,102.0,Kindertagesstätte,400.0,Ev. Kirchengemeinde Paul-Schneider,Diakonisches Werk,Wedellstr. 076 12249 Berlin,1575,13.3577423,52.4305481
1628,06,Steglitz-Zehlendorf,6120370,Kita der Kath. Kirchengem. St. Benedikt,Corneliusstr. 031,12247,7717781,60.0,Kindertagesstätte,354.0,Kath. Kirchengemeinde St. Benedikt,Deutscher Caritasverband,Corneliusstr. 031 12247 Berlin,1576,13.3412502,52.4402558
1629,06,Steglitz-Zehlendorf,6120380,Kita St. Annen/Kath. Kirchengem. Heilige Familie,Gardeschützenweg 017,12203,8342316,60.0,Kindertagesstätte,9062.0,Katholischen Kirchengemeinde Pfarrei Johannes Bosco-Berliner Südwesten,Sonstiger freier Träger,Gardeschützenweg 017 12203 Berlin,1577,13.3131701,52.4485465
1630,06,Steglitz-Zehlendorf,6120390,Kita der Kath. Kirchengem. von der Auferstehung Christi,Kamenzer Damm 066,12249,7752808,60.0,Kindertagesstätte,354.0,Kath. Kirchengemeinde St. Benedikt,Deutscher Caritasverband,Kamenzer Damm 066 12249 Berlin,1578,13.3622287,52.4341771
1631,06,Steglitz-Zehlendorf,6120400,Kath. Kindertagesstätte der Rosenkranz-Basilika,Kieler Str. 010,12163,7912354,70.0,Kindertagesstätte,356.0,Katholische Kirche Maria Rosenkranzkönigin,Deutscher Caritasverband,Kieler Str. 010 12163 Berlin,1579,13.3242244,52.4585009
1632,06,Steglitz-Zehlendorf,6120450,Kita Wedellstraße/Kitas Süd-West,Wedellstr. 059,12249,901729630,159.0,Kindertagesstätte,123.0,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,Wedellstr. 059 12249 Berlin,1580,13.3600243,52.4312877
1633,06,Steglitz-Zehlendorf,6120460,Kita Ruthstr. 6/Kitas Süd-West,Ruthstr. 006,12247,290276590,145.0,Kindertagesstätte,123.0,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,Ruthstr. 006 12247 Berlin,1581,13.3396033,52.4350228
1634,06,Steglitz-Zehlendorf,6120470,Kita Villa Musica,Kaulbachstr. 050,12247,030 768827-99,58.0,Kindertagesstätte,1221.0,EJF gemeinnützige AG,Diakonisches Werk,Kaulbachstr. 050 12247 Berlin,1582,13.3392752,52.4390468
1635,06,Steglitz-Zehlendorf,6120480,Kindertagesstätte der Caritas St. Monika,Kiesstr. 045,12209,76685878 - 80,60.0,Kindertagesstätte,300.0,Caritas Familien- und Jugendhilfe gGmbH,Deutscher Caritasverband,Kiesstr. 045 12209 Berlin,1583,13.3368935,52.4233091
1636,06,Steglitz-Zehlendorf,6120490,Kindertagesstätte der Caritas St. Hildegard,Königsberger Str. 011- 12,12207,7724090,60.0,Kindertagesstätte,300.0,Caritas Familien- und Jugendhilfe gGmbH,Deutscher Caritasverband,Königsberger Str. 011- 12 12207 Berlin,1584,13.3197865,52.43014789999999
1637,06,Steglitz-Zehlendorf,6120500,Kita der Kath. Kirchengem. Johannes Evangelist,Sohnreystr. 004,12169,7961756,50.0,Kindertagesstätte,354.0,Kath. Kirchengemeinde St. Benedikt,Deutscher Caritasverband,Sohnreystr. 004 12169 Berlin,1585,13.3504272,52.4507509
1638,06,Steglitz-Zehlendorf,6120510,Kita Sausewind,Adolf-Martens-Str. 005,12205,832 8997,33.0,Kindertagesstätte,107.0,Orte für Kinder GmbH,Sonstiger freier Träger,Adolf-Martens-Str. 005 12205 Berlin,1586,13.2918893,52.4437833
1639,06,Steglitz-Zehlendorf,6120520,EKT - Ahörnchen,Zimmermannstr. 013,12163,030/7970 9944,20.0,Eltern-Initiativ-Kindertagesstätte,519.0,Eltern-Initiativ-Kindergruppe Ahörnchen e.V.,Elterninitiativ-Kinderladen,Zimmermannstr. 013 12163 Berlin,1587,13.3203043,52.46031740000001
1640,06,Steglitz-Zehlendorf,6120540,EKT - Steglitzer Kinderkreisel,Drakestr. 030,12205,030 833 45 09,39.0,Eltern-Initiativ-Kindertagesstätte,1000.0,Steglitzer Kinderkreisel e.V.,Elterninitiativ-Kinderladen,Drakestr. 030 12205 Berlin,1588,13.2978921,52.4418804
1641,06,Steglitz-Zehlendorf,6120550,Kant-Kindergarten Grunewaldstraße 17,Grunewaldstr. 017,12165,7009625810,118.0,Kindertagesstätte,701.0,Kant-Kindergarten gemeinnützige GmbH,Sonstiger freier Träger,Grunewaldstr. 017 12165 Berlin,1589,13.3139317,52.4593571
1642,06,Steglitz-Zehlendorf,6120570,Kita Manteuffelstr. 11/Kitas Süd-West,Manteuffelstr. 011-12,12203,290276540,224.0,Kindertagesstätte,123.0,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,Manteuffelstr. 011-12 12203 Berlin,1590,13.3116925,52.4458972
1643,06,Steglitz-Zehlendorf,6120580,EKT - Fliegenpilz,Markelstr. 024A,12163,7918051,16.0,Eltern-Initiativ-Kindertagesstätte,567.0,Fliegenpilz e.V.,Elterninitiativ-Kinderladen,Markelstr. 024A 12163 Berlin,1591,13.3199802,52.46597
1644,06,Steglitz-Zehlendorf,6120600,EKT - Zwergstatt,Gritznerstr. 067,12163,792 97 58,15.0,Eltern-Initiativ-Kindertagesstätte,1094.0,Zwergstatt e. V.,Elterninitiativ-Kinderladen,Gritznerstr. 067 12163 Berlin,1592,13.3140565,52.4609928
1645,06,Steglitz-Zehlendorf,6120630,EKT - Rotkappe,Horst-Kohl-Str. 012,12157,60966644,16.0,Eltern-Initiativ-Kindertagesstätte,931.0,Rotkappe e.V.,Elterninitiativ-Kinderladen,Horst-Kohl-Str. 012 12157 Berlin,1593,13.3438155,52.461422
1646,06,Steglitz-Zehlendorf,6120640,EKT Lankwitz,Ingridpfad 014,12249,7725056,30.0,Eltern-Initiativ-Kindertagesstätte,820.0,Elterninitiative Lankwitz e.V.,Elterninitiativ-Kinderladen,Ingridpfad 014 12249 Berlin,1594,13.3405726,52.4315344
1647,06,Steglitz-Zehlendorf,6120650,EKT Langzeit,Kommandantenstr. 086,12205,8333844,20.0,Eltern-Initiativ-Kindertagesstätte,819.0,EKT Langzeit e.V.,Elterninitiativ-Kinderladen,Kommandantenstr. 086 12205 Berlin,1595,13.2929644,52.434721
1648,06,Steglitz-Zehlendorf,6120670,EKT - Steglitzer Eierpamper,Markelstr. 023,12163,030 791 36 21,18.0,Eltern-Initiativ-Kindertagesstätte,999.0,Steglitzer Eierpamper e.V.,Elterninitiativ-Kinderladen,Markelstr. 023 12163 Berlin,1596,13.3209695,52.4655401
1649,06,Steglitz-Zehlendorf,6120680,EKT - Lankwitzer Spielkiste,Melanchthonstr. 003,12247,774 10 50,30.0,Eltern-Initiativ-Kindertagesstätte,821.0,Lankwitzer Spielkiste e.V.,Elterninitiativ-Kinderladen,Melanchthonstr. 003 12247 Berlin,1597,13.3494909,52.4360223
1650,06,Steglitz-Zehlendorf,6120690,EKT - Kasymir,Menckenstr. 001,12169,7912827,25.0,Eltern-Initiativ-Kindertagesstätte,729.0,KASYMIR e.V.,Elterninitiativ-Kinderladen,Menckenstr. 001 12169 Berlin,1598,13.3312704,52.4584685
1651,06,Steglitz-Zehlendorf,6120710,EKT Pippifax,Haydnstr. 007,12203,030-8346251,20.0,Eltern-Initiativ-Kindertagesstätte,905.0,EKT Pippifax e.V.,Elterninitiativ-Kinderladen,Haydnstr. 007 12203 Berlin,1599,13.3169371,52.44762060000001
1652,06,Steglitz-Zehlendorf,6120730,EKT - Blumenladen,Moltkestr. 047,12203,8341404,25.0,Eltern-Initiativ-Kindertagesstätte,546.0,"EKT ""Blumenladen"" e. V.",Elterninitiativ-Kinderladen,Moltkestr. 047 12203 Berlin,1600,13.3075961,52.4460044
1653,06,Steglitz-Zehlendorf,6120760,Krikelkrakel e.V.,Peschkestr. 008,12161,859 25 80,19.0,Eltern-Initiativ-Kindertagesstätte,803.0,Krikel Krakel e.V.,Elterninitiativ-Kinderladen,Peschkestr. 008 12161 Berlin,1601,13.3316963,52.46492509999999
1654,06,Steglitz-Zehlendorf,6120770,Kita Schillerstraße,Schillerstr. 024,12207,7737114,40.0,Kindertagesstätte,615.0,Christlicher Kindergarten Schatzinsel e.V.,Diakonisches Werk,Schillerstr. 024 12207 Berlin,1602,13.3226554,52.426326
1655,06,Steglitz-Zehlendorf,6120790,EKT - Papalagi,Berlinickestr. 013,12165,791 95 40,27.0,Eltern-Initiativ-Kindertagesstätte,890.0,PAPALAGI e. V.,Elterninitiativ-Kinderladen,Berlinickestr. 013 12165 Berlin,1603,13.3232345,52.4553227
1656,06,Steglitz-Zehlendorf,6120800,EKT - Kulleberga,Altmarkstr. 026,12169,855 50 40,15.0,Eltern-Initiativ-Kindertagesstätte,811.0,Kulleberga e.V.,Elterninitiativ-Kinderladen,Altmarkstr. 026 12169 Berlin,1604,13.3423862,52.4594708
1657,06,Steglitz-Zehlendorf,6120810,EKT - Kinderladen Zweitausendfüßler,Thorwaldsenstr. 029,12157,795 47 73,16.0,Eltern-Initiativ-Kindertagesstätte,761.0,Kinderladen Zweitausendfüßler e.V.,Elterninitiativ-Kinderladen,Thorwaldsenstr. 029 12157 Berlin,1605,13.3448476,52.4614305
1658,06,Steglitz-Zehlendorf,6120830,EKT - Pusteblume,Sedanstr. 007,12167,7951574,25.0,Eltern-Initiativ-Kindertagesstätte,568.0,Pusteblume e.V.,Elterninitiativ-Kinderladen,Sedanstr. 007 12167 Berlin,1606,13.3341137,52.4500115
1659,06,Steglitz-Zehlendorf,6120840,EKT Stadtpark Steglitz,Paul-Schneider-Str. 022,12247,60 27 48 23,18.0,Eltern-Initiativ-Kindertagesstätte,998.0,Elterninitiativ-Kindertagesstätte (EKT) Stadtpark Steglitz e.V.,Elterninitiativ-Kinderladen,Paul-Schneider-Str. 022 12247 Berlin,1607,13.3479765,52.43492939999999
1660,06,Steglitz-Zehlendorf,6120850,Kita Dreikäse-Hoch (Wohneinheit links),Beethovenstr. 034,12247,7676 9834,50.0,Kindertagesstätte,1247.0,Mittelhof e.V.,Sonstiger freier Träger,Beethovenstr. 034 12247 Berlin,1608,13.3309388,52.4380969
1661,06,Steglitz-Zehlendorf,6120860,Kita Diakoniewerk der Ev.-Freikirchl. Gem. - Baptisten,Rothenburgstr. 012A-13,12165,7921002,45.0,Kindertagesstätte,1212.0,Diakoniewerk d.Ev.-Freikirchl. Gem.-Baptisten- Bln-Stegl. KdöR e.V.,Diakonisches Werk,Rothenburgstr. 012A-13 12165 Berlin,1609,13.316062,52.4569353
1662,06,Steglitz-Zehlendorf,6120870,Kita Fregestraße,Fregestr. 053,12161,85 98 66 20,40.0,Kindertagesstätte,1249.0,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,Fregestr. 053 12161 Berlin,1610,13.3358637,52.4671227
1663,06,Steglitz-Zehlendorf,6120890,Kita Schlosskobolde,Hindenburgdamm 028,12203,84411043,71.0,Kindertagesstätte,1280.0,Stadtteilzentrum Steglitz - Verein für soziale Arbeit e.V.,Sonstiger freier Träger,Hindenburgdamm 028 12203 Berlin,1611,13.3162007,52.4389307
1664,06,Steglitz-Zehlendorf,6120900,Kita Cooperative Mensch eG,Prettauer Pfad 02333,12207,030 22 500 360,140.0,Kindertagesstätte,1207.0,Cooperative Mensch eG,Sonstiger freier Träger,Prettauer Pfad 02333 12207 Berlin,1612,13.2988657,52.4194815
1665,06,Steglitz-Zehlendorf,6120920,EKT Ja Ja He und Co.,Breite Str. 038,12167,793 22 65,22.0,Eltern-Initiativ-Kindertagesstätte,689.0,Ja Ja He und Co. e.V.,Elterninitiativ-Kinderladen,Breite Str. 038 12167 Berlin,1613,13.3275761,52.4537116
1666,06,Steglitz-Zehlendorf,6120930,Kita Filandastr. 27/Kitas Süd-West,Filandastr. 027,12169,290276190,50.0,Kindertagesstätte,123.0,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,Filandastr. 027 12169 Berlin,1614,13.3317759,52.45490040000001
1667,06,Steglitz-Zehlendorf,6120950,Kita Die Kobolde (Wohneinheit rechts),Beethovenstr. 034rechts,12247,834 14 77,37.0,Kindertagesstätte,1247.0,Mittelhof e.V.,Sonstiger freier Träger,Beethovenstr. 034rechts 12247 Berlin,1615,13.3320112,52.4371876
1668,06,Steglitz-Zehlendorf,6120970,Kita Frobenstraße/Kitas Süd-West,Frobenstr. 075,12249,290276520,195.0,Kindertagesstätte,123.0,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,Frobenstr. 075 12249 Berlin,1616,13.3441316,52.4301374
1669,06,Steglitz-Zehlendorf,6120990,EKT - Ringelbande,Schmidt-Ott-Str. 004,12165,7920895,18.0,Eltern-Initiativ-Kindertagesstätte,924.0,Ringelbande e.V.,Elterninitiativ-Kinderladen,Schmidt-Ott-Str. 004 12165 Berlin,1617,13.312772,52.4578771
1670,06,Steglitz-Zehlendorf,6121000,Kita John F.Kennedy Friendship Center,Am Fichtenberg 016,12165,79018344,117.0,Kindertagesstätte,688.0,John F. Kennedy Friendship Center e.V.,Sonstiger freier Träger,Am Fichtenberg 016 12165 Berlin,1618,13.3102281,52.454574
1671,06,Steglitz-Zehlendorf,6121090,Kita Sondershauser Straße,Sondershauser Str. 050,12249,70721475,20.0,Kindertagesstätte,435.0,Ev. Kirchengemeinde Dietrich-Bonhoeffer,Diakonisches Werk,Sondershauser Str. 050 12249 Berlin,1619,13.3430091,52.420565
1672,06,Steglitz-Zehlendorf,6121100,Kita der Johann-Sebastian-Bach Kirchengemeinde,Luzerner Str. 010,12205,28833413,45.0,Kindertagesstätte,479.0,Ev. Kirchengemeinde Johann-Sebastian-Bach,Diakonisches Werk,Luzerner Str. 010 12205 Berlin,1620,13.2973674,52.4239047
1673,06,Steglitz-Zehlendorf,6121120,EKT - Rotz und Trotz,Sophienstr. 009,12203,8431 6789,30.0,Eltern-Initiativ-Kindertagesstätte,932.0,Rotz und Trotz e. V.,Elterninitiativ-Kinderladen,Sophienstr. 009 12203 Berlin,1621,13.3028113,52.4428277
1674,06,Steglitz-Zehlendorf,6121130,Kita Happy Kids (1. Einrichtung),Gritznerstr. 033,12163,7565 0016,45.0,Kindertagesstätte,1132.0,Happy Kids GmbH gemeinnützige Gesellschaft,Sonstiger freier Träger,Gritznerstr. 033 12163 Berlin,1622,13.3158482,52.463384
1675,06,Steglitz-Zehlendorf,6121140,Kita Lilienthal,Schütte-Lanz-Str. 043,12209,7565 4971,104.0,Kindertagesstätte,1247.0,Mittelhof e.V.,Sonstiger freier Träger,Schütte-Lanz-Str. 043 12209 Berlin,1623,13.3280418,52.41290799999999
1676,06,Steglitz-Zehlendorf,6121200,Kita Lichterfelder Strolche,Scheelestr. 145,12209,72024981,67.0,Kindertagesstätte,1280.0,Stadtteilzentrum Steglitz - Verein für soziale Arbeit e.V.,Sonstiger freier Träger,Scheelestr. 145 12209 Berlin,1624,13.3212208,52.4118548
1677,06,Steglitz-Zehlendorf,6121240,EKT Die Maulwürfe,Lorenzstr. 057,12209,772 69 27,45.0,Eltern-Initiativ-Kindertagesstätte,502.0,"""Die Maulwürfe"" Kinderladen e.V.",Elterninitiativ-Kinderladen,Lorenzstr. 057 12209 Berlin,1625,13.3316156,52.4262705
1678,06,Steglitz-Zehlendorf,6121250,Humanistische Kita Lichterfelder Sonnengarten,Holtheimer Weg 006,12207,7124930,135.0,Kindertagesstätte,1230.0,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,Holtheimer Weg 006 12207 Berlin,1626,13.3079807,52.4108337
1679,06,Steglitz-Zehlendorf,6121270,Kita Starke Kinder,Kaulbachstr. 05961,12247,7688 2711,166.0,Kindertagesstätte,1296.0,Jugend- und Sozialwerk gGmbH,Sonstiger freier Träger,Kaulbachstr. 05961 12247 Berlin,1627,13.336235,52.4379077
1680,06,Steglitz-Zehlendorf,6121280,Kita am Fliegeberg,Scheelestr. 045,12209,711 70 84,115.0,Kindertagesstätte,1247.0,Mittelhof e.V.,Sonstiger freier Träger,Scheelestr. 045 12209 Berlin,1628,13.3306049,52.4142496
1681,06,Steglitz-Zehlendorf,6121340,Kita Zaubermäuse,Lepsiusstr. 053,12163,030 / 793 14 62,40.0,Kindertagesstätte,7499.0,Infantarius Kindergärten gGmbH,Sonstiger freier Träger,Lepsiusstr. 053 12163 Berlin,1629,13.3183397,52.4613632
1682,06,Steglitz-Zehlendorf,6121350,Kita Baseler Strasse,Baseler Str. 161,12205,8472 8050,100.0,Kindertagesstätte,437.0,Diakonisches Werk Steglitz und Teltow-Zehlendorf e. V.,Diakonisches Werk,Baseler Str. 161 12205 Berlin,1630,13.2947869,52.4264833
1683,06,Steglitz-Zehlendorf,6121360,Kita Berliner Sterne,Dürerstr. 020,12203,51059280,35.0,Kindertagesstätte,8711.0,Berliner Sterne gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),Sonstiger freier Träger,Dürerstr. 020 12203 Berlin,1631,13.3047489,52.43740529999999
1684,06,Steglitz-Zehlendorf,6121380,Klax Krippe Spatzennest und Klax Kindergarten Tinkerbell,Hindenburgdamm 022,12203,280 36127-90,136.0,Kindertagesstätte,1214.0,KLAX Berlin gGmbH,Sonstiger freier Träger,Hindenburgdamm 022 12203 Berlin,1632,13.3150967,52.4369197
1685,06,Steglitz-Zehlendorf,6121390,Kita Mary Poppinz I,Beethovenstr. 038,12247,52104173,28.0,Kindertagesstätte,8218.0,Mary Poppinz gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),Sonstiger freier Träger,Beethovenstr. 038 12247 Berlin,1633,13.3309088,52.4381384
1686,06,Steglitz-Zehlendorf,6121400,Kita Happy Kids,Forststr. 010,12163,79 302 664,26.0,Kindertagesstätte,1132.0,Happy Kids GmbH gemeinnützige Gesellschaft,Sonstiger freier Träger,Forststr. 010 12163 Berlin,1634,13.3161473,52.4634973
1687,06,Steglitz-Zehlendorf,6121440,Kita Zaubersterne,Gallwitzallee 035,12249,030 / 76 88 23 22,39.0,Kindertagesstätte,7499.0,Infantarius Kindergärten gGmbH,Sonstiger freier Träger,Gallwitzallee 035 12249 Berlin,1635,13.346594,52.43306949999999
1688,06,Steglitz-Zehlendorf,6121450,Kita Spatzenhaus,Birkbuschstr. 014,12167,51589894,25.0,Kindertagesstätte,7891.0,FdM gemeinnützige UG (haftungsbeschränkt) Förderung der Mehrsprachigkeit,Sonstiger freier Träger,Birkbuschstr. 014 12167 Berlin,1636,13.3220493,52.45079519999999
1689,06,Steglitz-Zehlendorf,6121510,Kita Milchbartpiraten,Ursulastr. 012,12249,81001834,125.0,Kindertagesstätte,7909.0,J. KERSTEN Betriebs-gGmbH,Sonstiger freier Träger,Ursulastr. 012 12249 Berlin,1637,13.3434051,52.4325652
1690,06,Steglitz-Zehlendorf,6121520,Montessori Kinderhaus Steglitz,Plantagenstr. 001,12169,7842936,30.0,Kindertagesstätte,8066.0,Montessori und Friends Education gGmbH,Sonstiger freier Träger,Plantagenstr. 001 12169 Berlin,1638,13.3292008,52.4544562
1691,06,Steglitz-Zehlendorf,6121540,Kita Mary Poppinz II,Finckensteinallee 042A,12205,52104173,40.0,Kindertagesstätte,8218.0,Mary Poppinz gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),Sonstiger freier Träger,Finckensteinallee 042A 12205 Berlin,1639,13.3024416,52.4326005
1692,06,Steglitz-Zehlendorf,6121550,Kita -Happy Kids,Gritznerstr. 001,12163,79016839,27.0,Kindertagesstätte,1132.0,Happy Kids GmbH gemeinnützige Gesellschaft,Sonstiger freier Träger,Gritznerstr. 001 12163 Berlin,1640,13.3191985,52.4667283
1693,06,Steglitz-Zehlendorf,6121560,Kita - Bibbi Bär,Immenweg 013-15,12169,22150784,28.0,Kindertagesstätte,8312.0,Die Kuschelburg gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Immenweg 013-15 12169 Berlin,1641,13.3443623,52.4514213
1694,06,Steglitz-Zehlendorf,6121590,Kita Blumenstadt,Selerweg 019-21,12169,92259310,114.0,Kindertagesstätte,8368.0,MITRA bilinguale Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,Selerweg 019-21 12169 Berlin,1642,13.3334747,52.454899
1695,06,Steglitz-Zehlendorf,6121600,Happy Kids Kreuznacher Straße,Kreuznacher Str. 009,14197,79742847,20.0,Kindertagesstätte,1132.0,Happy Kids GmbH gemeinnützige Gesellschaft,Sonstiger freier Träger,Kreuznacher Str. 009 14197 Berlin,1643,13.3192462,52.4668524
1696,06,Steglitz-Zehlendorf,6121610,Kita Sonnenstrahl,Murtener Str. 010,12205,84 11 90 80,60.0,Kindertagesstätte,1247.0,Mittelhof e.V.,Sonstiger freier Träger,Murtener Str. 010 12205 Berlin,1644,13.2894565,52.43139009999999
1697,06,Steglitz-Zehlendorf,6121630,Kita Beselerstraße,Beselerstr. 001- 3,12249,76804767,30.0,Kindertagesstätte,1398.0,Verein zur Förderung der Mehrsprachigkeit e.V.,Sonstiger freier Träger,Beselerstr. 001- 3 12249 Berlin,1645,13.3518933,52.4293324
1698,06,Steglitz-Zehlendorf,6121640,Kita Unter den Eichen,Unter den Eichen 093,12205,030 60940800,22.0,Eltern-Initiativ-Kindertagesstätte,7884.0,Biegel e. V.,Sonstiger freier Träger,Unter den Eichen 093 12205 Berlin,1646,13.291369,52.4443289
1699,06,Steglitz-Zehlendorf,6121650,Kita Schützenstraße,Schützenstr. 041A,12165,79789170,30.0,Kindertagesstätte,7891.0,FdM gemeinnützige UG (haftungsbeschränkt) Förderung der Mehrsprachigkeit,Sonstiger freier Träger,Schützenstr. 041A 12165 Berlin,1647,13.321938,52.45246849999999
1700,06,Steglitz-Zehlendorf,6121660,Kita Nannys Place,Drakestr. 001,12205,84723053,66.0,Kindertagesstätte,7910.0,Verein zur Betreuung und Förderung von Kindern in der Tageseinrichtung Nannys Place e. V.,Sonstiger freier Träger,Drakestr. 001 12205 Berlin,1648,13.3090887,52.4318775
1701,06,Steglitz-Zehlendorf,6121680,Intensiv-Frühfördergruppe für Kinder mit Autismus,Arno-Holz-Str. 010,12165,"7974284-10 -11,-12",8.0,Kindertagesstätte,674.0,Autismus Deutschland Vereinigung zur Förderung von Menschen mit Autismus Landesverband Berlin e.V.,Sonstiger freier Träger,Arno-Holz-Str. 010 12165 Berlin,1649,13.308136,52.4585635
1702,06,Steglitz-Zehlendorf,6121690,Kita Loftschloss,Goerzallee 190,14167,54483274,36.0,Kindertagesstätte,8125.0,Loftschloss gGmbH,Sonstiger freier Träger,Goerzallee 190 14167 Berlin,1650,13.2871867,52.41825859999999
1703,06,Steglitz-Zehlendorf,6121700,Kita Giesensdorfer Straße 11 - Lilli,Giesensdorfer Str. 011,12207,03095618790,120.0,Kindertagesstätte,7849.0,Rubin e. V.,Sonstiger freier Träger,Giesensdorfer Str. 011 12207 Berlin,1651,13.3135975,52.4275813
1704,06,Steglitz-Zehlendorf,6121710,el caracol - bilingualer Kindergarten,Drakestr. 009B,12205,8731502,60.0,Kindertagesstätte,649.0,el caracol bilingualer Kindergarten Spanisch / Deutsch gGmbH,Sonstiger freier Träger,Drakestr. 009B 12205 Berlin,1652,13.3060141,52.43468069999999
1705,06,Steglitz-Zehlendorf,6121730,Kita Maltinis,Malteserstr. 120,12249,98327770,90.0,Kindertagesstätte,1280.0,Stadtteilzentrum Steglitz - Verein für soziale Arbeit e.V.,Sonstiger freier Träger,Malteserstr. 120 12249 Berlin,1653,13.3583586,52.4222688
1706,06,Steglitz-Zehlendorf,6121740,Kita JuLi Kinder,Halskestr. 009,12167,98335923,28.0,Kindertagesstätte,8246.0,JuLi Kinder UG (haftungsbeschränkt),Sonstiger freier Träger,Halskestr. 009 12167 Berlin,1654,13.3452373,52.44868659999999
1707,06,Steglitz-Zehlendorf,6121750,hisa Kita Derfflingerstraße,Derfflingerstr. 032,12249,77006134,65.0,Kindertagesstätte,1179.0,hisa gemeinnützige Gesellschaft mit beschränkter Haftung (hisa gGmbH),Sonstiger freier Träger,Derfflingerstr. 032 12249 Berlin,1655,13.3383272,52.429258
1708,06,Steglitz-Zehlendorf,6121760,SpIn Kita,Ostpreußendamm 058,12207,52662495,41.0,Kindertagesstätte,8260.0,SpIn-Kita gGmbH,Sonstiger freier Träger,Ostpreußendamm 058 12207 Berlin,1656,13.3139782,52.4236555
1709,06,Steglitz-Zehlendorf,6121770,Kita Grashüpferchen,Kaiser-Wilhelm-Str. 116,12247,55621104,92.0,Kindertagesstätte,8265.0,Kita Grashüpferchen gemeinnützige GmbH,Sonstiger freier Träger,Kaiser-Wilhelm-Str. 116 12247 Berlin,1657,13.3504654,52.4405327
1710,06,Steglitz-Zehlendorf,6121780,EKT Kleine Zwergenparade,Breite Str. 001,12167,375 864 85,23.0,Eltern-Initiativ-Kindertagesstätte,8292.0,Zwergenfamilie gGmbH,Sonstiger freier Träger,Breite Str. 001 12167 Berlin,1658,13.3280832,52.4541719
1711,06,Steglitz-Zehlendorf,6121790,Kita Zauberzwerge,Ahornstr. 020,12163,030 797 46 555,32.0,Kindertagesstätte,7499.0,Infantarius Kindergärten gGmbH,Sonstiger freier Träger,Ahornstr. 020 12163 Berlin,1659,13.3204918,52.4613612
1712,06,Steglitz-Zehlendorf,6121800,el caracol bilingualer Kindergarten,Grunewaldstr. 046,12165,8731502,55.0,Kindertagesstätte,649.0,el caracol bilingualer Kindergarten Spanisch / Deutsch gGmbH,Sonstiger freier Träger,Grunewaldstr. 046 12165 Berlin,1660,13.3145283,52.4588761
1713,06,Steglitz-Zehlendorf,6121810,Kita Sonnenblume Saaleckplatz,Saaleckplatz 002,12209,03077059930,25.0,Kindertagesstätte,1349.0,Kita Sonnenblume gGmbH,Sonstiger freier Träger,Saaleckplatz 002 12209 Berlin,1661,13.3237806,52.41671150000001
1714,06,Steglitz-Zehlendorf,6121830,Eltern-Kind-Gruppe,Alt-Lankwitz 015,12247,779909014,18.0,Eltern-Kind-Gruppe,8354.0,Evangelische Dorfkirchengemeinde Lankwitz,Diakonisches Werk,Alt-Lankwitz 015 12247 Berlin,1662,13.3543744,52.4390879
1715,06,Steglitz-Zehlendorf,6121840,Lemmis Kreativ-Kita,Gravelottestr. 010,12167,513 055 38,29.0,Kindertagesstätte,8425.0,Kreativ-Kitas Berlin Süd gUG (haftungsbeschränkt),Sonstiger freier Träger,Gravelottestr. 010 12167 Berlin,1663,13.3280251,52.44785
1716,06,Steglitz-Zehlendorf,6121850,Montessori-Kinderladen Mauersegler,Lankwitzer Str. 010,12209,97894989,22.0,Eltern-Initiativ-Kindertagesstätte,1197.0,Montessori-Kinderladen-Mitte e. V.,Elterninitiativ-Kinderladen,Lankwitzer Str. 010 12209 Berlin,1664,13.3318741,52.4296139
1717,06,Steglitz-Zehlendorf,6121860,Kita Tautropfen,Steglitzer Damm 069A,12169,20622998-0,74.0,Kindertagesstätte,155.0,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,Steglitzer Damm 069A 12169 Berlin,1665,13.3485019,52.4499758
1718,06,Steglitz-Zehlendorf,6121870,Kita Undinchen,Ostpreußendamm 071,12207,26343048,40.0,Kindertagesstätte,8508.0,Kita Undinchen gGmbH,Sonstiger freier Träger,Ostpreußendamm 071 12207 Berlin,1666,13.3076098,52.41993309999999
